1800.0	1755.5555555555557	-4263.1578947368425	1.0	12.5	125.630302	774.571649	1453.52406	2274.06143	3173.58057	3755.25106	3777.39699	3776.71781	3636.71161	3651.26267	2094.24321	1912.45808	1912.20199	1830.34946	3155.62316	125.630302
2000.0	1755.5555555555557	-4263.1578947368425	1.0	45.0	125.331105	778.469269	1461.46438	2401.79373	2996.42667	3760.00142	3874.8357	3874.16473	3738.41479	3752.17957	1862.64848	2102.2707	2099.33127	864.710495	2963.99468	125.331105
400.0	1133.3333333333333	-3315.7894736842104	1.0	10.0	123.907865	487.370938	922.968201	1172.66228	1885.74188	2457.12798	2267.95993	2266.74952	2165.14788	2175.32035	823.962153	583.797268	583.559503	501.553881	1849.21739	123.907865
600.0	1755.5555555555557	-1421.0526315789473	-1.0	15.0	122.721932	766.446601	1436.21932	2531.49731	3055.74325	3695.15715	3384.72551	3383.92741	3222.13343	3238.68925	1281.64728	888.088454	887.92934	839.050769	3040.01862	122.721932
1000.0	1133.3333333333333	-2368.4210526315787	-1.0	25.0	123.01419	490.328492	929.926471	1571.58452	2033.72964	2485.3969	2439.47166	2438.32053	2346.08965	2355.17634	1176.24826	1085.33068	1084.75461	913.020268	2002.8642	123.01419
1200.0	1444.4444444444443	-4263.1578947368425	1.0	5.0	121.863583	630.598332	1188.01085	1587.46545	2508.12127	3113.14413	3031.53668	3030.7327	2910.04456	2922.67106	1521.24702	1313.46529	1313.41469	1297.3502	2481.90155	121.863583
2000.0	1755.5555555555557	9000.0	-1.0	30.0	118.748479	763.481739	1430.27116	2436.87552	3014.16507	3719.24439	3854.07211	3853.38439	3718.83948	3733.21794	1898.13711	2100.33171	2097.25781	1036.57143	3004.30145	118.748479
600.0	1133.3333333333333	473.6842105263158	-1.0	39.0	119.470677	485.203128	912.946098	1822.94004	2054.10555	2463.91251	2303.72795	2302.47927	2203.30843	2213.41583	922.010723	733.595958	733.256424	626.839363	1990.5536	119.470677
1200.0	1133.3333333333333	1421.0526315789473	1.0	45.0	119.01541	486.416684	910.038176	1958.0353	2211.93702	2495.66482	2516.05951	2514.94268	2427.49637	2436.19688	1263.86751	1270.98956	1270.08118	914.210632	2185.30415	119.01541
1400.0	1755.5555555555557	-3315.7894736842104	-1.0	5.0	119.190295	773.567191	1454.57741	2372.05839	3139.00183	3732.86453	3610.95747	3610.28609	3461.14993	3476.60803	1804.25512	1543.19458	1543.15994	1532.90968	3127.01589	119.190295
1800.0	1133.3333333333333	473.6842105263158	-1.0	30.0	120.106429	489.88306	921.000009	2095.26017	2458.84981	2537.62789	2835.25861	2834.28838	2759.49543	2766.80676	1876.04693	1846.82322	1846.35171	1706.0151	2446.03482	120.106429
1800.0	2066.6666666666665	-7105.263157894737	1.0	7.5	124.693097	917.843319	1715.47546	1845.36097	3382.31113	4351.3345	4269.99926	4269.4386	4095.84963	4114.81902	2221.48185	1953.30535	1953.11434	1893.61429	3363.03111	124.693097
2000.0	1755.5555555555557	-5210.526315789473	1.0	25.0	126.69051	777.419333	1459.788	2124.8732	3068.26651	3763.12275	3874.78815	3874.12495	3738.72149	3752.79693	2120.5451	2101.42754	2100.19935	1676.99377	3046.98533	126.69051
1600.0	1133.3333333333333	-5210.526315789473	1.0	22.5	119.4926	494.996014	940.582046	781.59366	1962.90335	2518.92932	2731.05721	2730.09268	2650.66634	2659.37248	1599.38226	1652.14538	1651.04044	1276.56114	1928.96649	119.4926
1400.0	1444.4444444444443	1421.0526315789473	1.0	54.0	120.17949	627.29232	1169.73637	2425.25619	2684.16846	3119.46892	3102.22311	3101.33879	2985.30544	2997.12618	1446.65532	1498.08593	1496.63516	855.229977	2623.14314	120.17949
1400.0	1444.4444444444443	5210.526315789473	1.0	20.0	118.36159	623.451444	1171.63759	2280.07853	2742.49105	3110.27323	3097.40784	3096.52301	2980.87684	2992.96823	1587.36708	1497.32644	1496.64263	1265.6673	2737.92549	118.36159
1800.0	1133.3333333333333	-473.6842105263158	-1.0	27.5	120.803903	491.210436	928.87499	2040.86887	2444.00447	2538.95992	2836.65776	2835.68983	2760.84148	2768.1062	1883.74958	1846.9463	1846.52746	1722.55626	2429.04975	120.803903
800.0	1755.5555555555557	-2368.4210526315787	-1.0	5.0	118.456892	769.487194	1445.41089	2425.40785	3056.85386	3703.43721	3427.56823	3426.84922	3267.35314	3283.74853	1398.47298	1033.06337	1033.03491	1024.46941	3044.34412	118.456892
